Comment,Designator,Footprint,"LCSC Part #"
uFL,X3,HRS_UFL,C434812
"0R jumper","R21 R37 R38",_0603,C136582
1k,"R9 R13 R31 R32 R36",_0603,C116692
1u,"C14 C15",_0603,C1592
4.7k,"R4 R8 R22 R23",_0603,C105428
4.7u,"C25 C30 C35",_0603,C109456
10p,C9,_0603,C106245
10u,"C12 C16 C42 C43",_0805,C408141
15k,R1,_0603,C114661
22k,"R6 R7 R12 R14 R15 R24 R35",_0603,C114065
33p,"C2 C3 C4 C8 C19 C21 C22 C27 C29 C33 C36 C37 C38 C39 C40 C41 C44 C45",_0402,C70465
47R,"R2 R3 R17 R18 R19 R20 R33 R34",_0603,C114623
47k,R5,_0603,C105579
47nH,"L1 L2",_0603,C6135425
100n,"C1 C7 C13 C18 C20 C23 C24 C26 C28 C31 C32 C34",_0603,C141084
100u,"C5 C6 C10",1206,C15008
200k,R11,_0603,C105574
220R,"R25 R26 R27 R28 R29 R30",_0603,C107696
330R,"R10 R16",_0603,C105879
470u,C11,UD-8X10_NICHICON,C445244
ACDBB540-HF,D2,SMBDIODE,C3019736
AUDIO-JACK3,J1,AUDIO-JACK-TRRS-SMD,C4991637
BC847,"T1 T2",SOT23-BEC,C8664
EVQQ2K03W,"B1 B2",EVQ-Q2,C713484
FH12A-40S-0.5SH(55),U1,HIROSE_FH12A-40S-0.5SH(55),C506795
GG040205170N2P,D4,_0402,C597648
GREEN,LED1,CHIP-LED0603,C5554150
MCP1827T-ADJE/ET,U3,TI_KTT_DPAK2,C152196
MIC5366,U2,SC70-5,C626107
NAU88C10,IC2,QFN20,C914208
PESD5V0UBV,D1,SOT666,C552582
PJ-002BH-SMT-TR,K1,694108106102,C3094235
SIM-105B-ARP8,SIM1,SIM-105B-ARP8,C920196
SMBJP6KE6.8A-TP,D3,SMBDIODE,C725414
SN74AVC4T245-VQFN,IC1,VQFN-N16,C2872438
TXB0102,IC3,VSSOP-8,C60709
YELLOW,LED2,CHIP-LED0603,C5875726
