Designator,Mid X,Mid Y,Layer,Rotation
B1,47.62, 5.56,Top,180.0
B2,34.93, 5.55,Top,180.0
C1,65.09,58.26,Top,180.0
C2,60.90,58.45,Top,180.0
C3,58.36,58.45,Top,180.0
C4,61.57,91.69,Top,90.0
C5,24.77,82.58,Top,180.0
C6,24.77,85.18,Top,180.0
C7,21.91,90.83,Top,0.0
C8,27.30,88.04,Top,0.0
C9,27.62,89.50,Top,0.0
C10,20.96,88.48,Top,0.0
C11,16.89,64.35,Top,90.0
C12,20.76,72.10,Top,180.0
C13,66.83,41.27,Top,0.0
C14,18.41,51.27,Top,180.0
C15,18.25,56.52,Top,270.0
C16,21.78,75.66,Top,90.0
C17,17.27,84.42,Top,180.0
C18,48.58,64.29,Top,0.0
C19,37.15,40.80,Top,270.0
C20,22.23,69.05,Top,180.0
C21,16.20,17.62,Top,0.0
C22, 9.84,17.62,Top,180.0
C23,23.18,66.20,Top,90.0
C24,42.23,53.65,Top,0.0
C25,40.96,46.19,Top,0.0
C26,21.91,58.27,Top,90.0
C27,38.73,54.61,Top,180.0
C28,39.05,56.20,Top,180.0
C29,47.31,51.12,Top,180.0
C30,39.05,57.47,Top,180.0
C31,21.91,54.77,Top,90.0
C32,47.94,56.67,Top,0.0
C33,35.56,54.61,Top,180.0
C34,35.24,56.20,Top,180.0
C35,35.24,57.47,Top,180.0
C36,40.64,85.25,Top,135.0
C37,38.73,67.47,Top,180.0
C38,35.88,67.16,Top,0.0
C39,41.27,82.70,Top,315.0
C40,44.36,82.61,Top,0.0
C41,42.23,83.66,Top,315.0
C42,40.64,61.44,Top,180.0
C43,47.15,58.42,Top,180.0
C44,46.67,53.97,Top,0.0
C45,46.67,55.09,Top,180.0
D1,47.62,77.24,Top,90.0
D2, 8.83,62.83,Top,270.0
D3, 3.75,62.83,Top,270.0
D4, 4.29,30.64,Top,0.0
IC1,26.99,68.42,Top,0.0
IC2,38.89,49.85,Top,270.0
IC3,24.93,56.83,Top,90.0
J1,69.85,50.96,Top,180.0
K1,-1.46,46.76,Top,0.0
L1,35.24,58.74,Top,0.0
L2,39.05,58.74,Top,0.0
LED1,10.10,90.52,Top,0.0
LED2,13.97,90.52,Top,0.0
R1,49.21,80.61,Top,90.0
R2,42.55,76.74,Top,0.0
R3,41.91,79.28,Top,0.0
R4,55.09,92.39,Top,90.0
R5,48.58,85.88,Top,270.0
R6,16.83,41.91,Top,0.0
R7,16.83,43.50,Top,180.0
R8,15.88,50.48,Top,270.0
R9,63.66,41.27,Top,180.0
R10,10.10,93.82,Top,270.0
R11,20.26,80.90,Top,0.0
R12,15.94,80.90,Top,180.0
R13,48.58,63.02,Top,0.0
R14,20.00,97.31,Top,180.0
R15,16.83,97.31,Top,180.0
R16,16.19,89.06,Top,90.0
R17,27.94,78.42,Top,90.0
R18,30.16,76.20,Top,90.0
R19,29.21,81.60,Top,90.0
R20,32.07,76.20,Top,90.0
R21,25.72,72.86,Top,90.0
R22,14.13,18.41,Top,90.0
R23,11.91,18.41,Top,90.0
R24,43.02,57.79,Top,270.0
R25,11.90,14.92,Top,270.0
R26,14.12,14.92,Top,270.0
R27,29.21,40.48,Top,270.0
R28,30.48,40.48,Top,270.0
R29,33.02,40.48,Top,270.0
R30,35.56,40.48,Top,270.0
R31,43.82,55.09,Top,0.0
R32,43.82,52.23,Top,0.0
R33,23.50,60.96,Top,90.0
R34,26.35,60.33,Top,90.0
R35,46.67,46.67,Top,0.0
R36,46.99,52.55,Top,180.0
R37,44.77,49.21,Top,270.0
R38,37.15,61.43,Top,180.0
SIM1,60.13,73.43,Top,270.0
T1,16.83,46.99,Top,90.0
T2,13.97,93.82,Top,180.0
U1,34.99,88.17,Top,0.0
U2,17.46,53.50,Top,270.0
U3, 6.03,74.51,Top,90.0
U4,44.45,24.29,Top,270.0
X3, 4.95,34.06,Top,0.0
